Arrondissement,Population
Paris 1er Arrondissement,15207
Paris 2e Arrondissement,19979
Paris 3e Arrondissement,32386
Paris 4e Arrondissement,27547
Paris 5e Arrondissement,55932
Paris 6e Arrondissement,41158
Paris 7e Arrondissement,48784
Paris 8e Arrondissement,35837
Paris 9e Arrondissement,57934
Paris 10e Arrondissement,84310
Paris 11e Arrondissement,138887
Paris 12e Arrondissement,138907
Paris 13e Arrondissement,182347
Paris 14e Arrondissement,137426
Paris 15e Arrondissement,231476
Paris 16e Arrondissement,161450
Paris 17e Arrondissement,160526
Paris 18e Arrondissement,183839
Paris 19e Arrondissement,179566
Paris 20e Arrondissement,185914
TOTAL,2119412